"","local_health_unit","operation_name","city","state","zip","municipality","county","vendor_type","creation_date","address","lat","lon"
"2544","NYC","CACAO DELI GROCERY CORP","BRONX","NY",10474,"BRONX","NEW YORK CITY","DELICATESSEN","11/10/2020","918 FAILE STREET
BRONX, NY 10474
","40.820439984000075"," -73.88790895899996"
"2545","NYC","LI'S FAMILY GROCERY INC","BROOKLYN","NY",11209,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","310 86TH  STREET
BROOKLYN, NY 11209
","40.62320998900003"," -74.03067296999996"
"2546","NYC","2326 DELI GROCERY LLC","BRONX","NY",10458,"BRONX","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","2320  GRAND CONCOURSE
BRONX, NY 10458
","40.85790000900005"," -73.89928102199997"
"2547","NYC","ALI 606 INC","BROOKLYN","NY",11235,"BROOKLYN","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","606 BRIGHTON BEACH AVENUE
BROOKLYN, NY 11235
","40.57749001800005"," -73.96116503199994"
"2548","NYC","85TH STREET DELI INC.","WOODHAVEN","NY",11421,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","8501 JAMAICA AVENUE
WOODHAVEN, NY 11421
","40.69261998400003"," -73.85901402399998"
"2549","NYC","METHA, JYOTI N","NEW YORK","NY",10027,"MANHATTAN","NEW YORK CITY","STAND","11/10/2020","N/E/C 3RD AVE & E 58TH STREET
NEW YORK, NY 10027
","40.76093002300007"," -73.96702993399998"
"2550","NYC","HOLLIS AVE FAMILY DELI GROCERY INC","SAINT ALBANS","NY",11412,"QUEENS","NEW YORK CITY","DELICATESSEN","11/10/2020","198-21 HOLLIS AVENUE
SAINT ALBANS, NY 11412
","40.70641001700005"," -73.75885296299998"
"2551","NYC","CORONA CONVENIENCE INC.","CORONA","NY",11368,"QUEENS","NEW YORK CITY","TOBACCO RETAIL","11/10/2020","11129 ROOSEVELT AVENUE
CORONA, NY 11368
","40.75201000100003"," -73.85482701199999"
"2552","NYC","2020 DISCOUNT MINI MART INC.","BROOKLYN","NY",11224,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","3345 NEPTUNE AVENUE
BROOKLYN, NY 11224
","40.57736998900003"," -74.00107999099998"
"2553","NYC","1798 LOS PRIMOS GROCERY CORP","BRONX","NY",10457,"BRONX","NEW YORK CITY","OTHER","11/10/2020","1798 CROTONA AVENUE
BRONX, NY 10457
","40.84244000800004"," -73.89370102199996"
"2554","NYC","DANISH GOURMET INC","NEW YORK","NY",10016,"MANHATTAN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","721 2ND AVENUE
NEW YORK, NY 10016
","40.74774998300006"," -73.97393796299997"
"2555","NYC","37TH AVE GROCERY INC","JACKSON HEIGHTS","NY",11372,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","8206 37TH  AVENUE
JACKSON HEIGHTS, NY 11372
","40.749660009000024"," -73.88398698199995"
"2556","NYC","VAPE SHOP MASPETH LLC","QUEENS","NY",11378,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","6651 GRAND AVENUE
QUEENS, NY 11378
","40.725078988000064"," -73.89723600499997"
"2557","NYC","MALIHA MANAGEMENT INC.","BROOKLYN","NY",11232,"BROOKLYN","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","842 5TH AVENUE
BROOKLYN, NY 11232
","40.65287999800006"," -74.00273801499998"
"2558","NYC","VILLAGE FRUIT INC","BROOKLYN","NY",11220,"BROOKLYN","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","5801 4TH AVENUE
BROOKLYN, NY 11220
","40.64178001200003"," -74.01715002699996"
"2559","NYC","PATINO, CRISTINO","BROOKLYN","NY",11212,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","57 SUTTER AVENUE
BROOKLYN, NY 11212
","40.665710010000055"," -73.92061103799995"
"2560","NYC","GRAB & GO GOURMET DELI INC","NEW YORK","NY",10032,"MANHATTAN","NEW YORK CITY","DELICATESSEN","11/10/2020","3920 BROADWAY
NEW YORK, NY 10032
","40.838500010000075"," -73.94130503499997"
"2561","NYC","ROZI, BAHADIR","BROOKLYN","NY",11214,"BROOKLYN","NEW YORK CITY","BAR/LOUNGE","11/10/2020","20TH AVE & 86TH STREET
BROOKLYN, NY 11214
","40.60460002700006"," -73.99823994999997"
"2562","NYC","SECOR DELI CORP.","BRONX","NY",10475,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","4028 BOSTON ROAD
BRONX, NY 10475
","40.88459000000006"," -73.83107102199995"
"2563","NYC","LOTTO CANDY STORE CORP","FLUSHING","NY",11355,"QUEENS","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","41-92 BOWNE STREET
FLUSHING, NY 11355
","40.757240015000036"," -73.82234403599995"
"2564","NYC","NO. 1 IN & OUT DELI GROCERY INC.","NEW YORK","NY",10026,"MANHATTAN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","1958 ADAMCLAYTON POWELL BOULEVARD
NEW YORK, NY 10026
","40.80451998400008"," -73.95190504099997"
"2565","NYC","FORDHAM DELI #2 CORP","BRONX","NY",10458,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","2573 WENSTER AVENUE
BRONX, NY 10458
","40.86264999200006"," -73.89037902199993"
"2566","NYC","PMP CONVENIENCE CORP.","SOUTH RICHMOND HILL","NY",11419,"QUEENS","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","118-20 LIBERTY AVENUE
SOUTH RICHMOND HILL, NY 11419
","40.686049997000055"," -73.82428402699998"
"2567","NYC","H & J FRUIT & VEGETABLE INC.","NEW YORK","NY",10002,"MANHATTAN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","97 CATHERINE STREET
NEW YORK, NY 10002
","40.71035998900004"," -73.99635896699994"
"2568","NYC","LA VILLA DELI CORP","HOLLIS","NY",11423,"QUEENS","NEW YORK CITY","DELICATESSEN","11/10/2020","18919 JAMAICA AVENUE
HOLLIS, NY 11423
","40.71201998300006"," -73.76963100099994"
"2569","NYC","EUSUF ABIR INC","BROOKLYN","NY",11212,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","414 ROCKAWAY AVENUE
BROOKLYN, NY 11212
","40.669980003000035"," -73.91096396999995"
"2570","NYC","POLANCO, PORFIRIO","JAMAICA","NY",11436,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","147-02 FOCH BOULEVARD
JAMAICA, NY 11436
","40.68009000300003"," -73.79350098499998"
"2571","NYC","JOHN BATH AVE GROCERY CORP.","BROOKLYN","NY",11228,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","1525 BATH AVENUE
BROOKLYN, NY 11228
","40.60759001900004"," -74.01204402299999"
"2572","NYC","FLOYD DELI CORP","BRONX","NY",10457,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","2260 WASHINGTON AVENUE
BRONX, NY 10457
","40.854700008000066"," -73.89342902899995"
"2573","NYC","JUN & JEONG FARM INC.","FLUSHING","NY",11366,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","168-02 UNION  TURNPIKE
FLUSHING, NY 11366
","40.72286045900006"," -73.80006249799999"
"2574","NYC","A & R NEWS & CANDY CORP.","NEW YORK","NY",10012,"MANHATTAN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","110 WEST HOUSTON STREET
NEW YORK, NY 10012
","40.72752998200008"," -74.00069903299999"
"2575","NYC","HONUFA DELI GROCERY CORP.","BROOKLYN","NY",11206,"BROOKLYN","NEW YORK CITY","BAR/LOUNGE","11/10/2020","333 PULASKI STREET
BROOKLYN, NY 11206
","40.693779998000025"," -73.93772596199994"
"2576","NYC","FIRST STOP GROCERY INC #2","BROOKLYN","NY",11206,"BROOKLYN","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","643 MARCY AVENUE
BROOKLYN, NY 11206
","40.69261998400003"," -73.94837600799997"
"2577","NYC","S.F. NEWS INC","NEW YORK","NY",10007,"MANHATTAN","NEW YORK CITY","STAND","11/10/2020","EAST 59TH ST & LEXINGTON AVENUE
NEW YORK, NY 10007
","40.76223005600008"," -73.96819987999999"
"2578","NYC","1530 MACOMBS GROCERY DELI CORP","BRONX","NY",10452,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","1530 MACOMBS ROAD
BRONX, NY 10452
","40.843609996000055"," -73.91733002599995"
"2579","NYC","FIRST STOP DELI GROCERY 2017 CORP","BRONX","NY",10453,"BRONX","NEW YORK CITY","BAR/LOUNGE","11/10/2020","1963 GRAND CONCOURSE
BRONX, NY 10453
","40.85094001200008"," -73.90520903899994"
"2580","NYC","MOON LIGHT CANDY GROCERY CORP","BRONX","NY",10454,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","548 EAST 138TH STREET
BRONX, NY 10454
","40.80676000600005"," -73.91773696699994"
"2581","NYC","DOLEH, BASSAM M.","BROOKLYN","NY",11215,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","510 7TH AVENUE
BROOKLYN, NY 11215
","40.66126999000005"," -73.98652397699993"
"2582","NYC","J & J NEWS INC","NEW YORK","NY",10281,"MANHATTAN","NEW YORK CITY","STAND","11/10/2020","1 WORLD FINANCIAL CENTER
NEW YORK, NY 10281
","40.71120999800007"," -74.01535596399998"
"2583","NYC","MANHATTAN TOBACCO & GROCERY CORP","NEW YORK","NY",10019,"MANHATTAN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","881 9TH AVENUE
NEW YORK, NY 10019
","40.76817999200006"," -73.98574496299995"
"2584","NYC","NY OLIVES DELI AND GRILL INC","NEW YORK","NY",10033,"NEW YORK CITY","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","4183 BROADWAY
NEW YORK, NY 10033
","40.84776000200003"," -73.93817003499998"
"2585","NYC","128 GOURMET DELI AND GROCERY INC","NEW YORK","NY",10035,"MANHATTAN","NEW YORK CITY","OTHER","11/10/2020","108 EAST 128TH  STREET
NEW YORK, NY 10035
","40.806649994000054"," -73.93712900299994"
"2586","NYC","HA GOURMET DELI INC","NEW YORK","NY",10030,"NEW YORK CITY","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","2611 FREDERICK DOUGLASS BOULEVARD
NEW YORK, NY 10030
","40.81921999800005"," -73.94477799299995"
"2587","NYC","MAGIC MARKET DELI & GROCERY CORP.","BRONX","NY",10472,"BRONX","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","1513 WATSON AVENUE
BRONX, NY 10472
","40.826099990000046"," -73.87895901399997"
"2588","NYC","2037 MEAT & GROCERY INC.","NEW YORK","NY",10029,"MANHATTAN","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","2037 2ND AVENUE
NEW YORK, NY 10029
","40.78985999400004"," -73.94321300699994"
"2589","NYC","JEROME EZ STOP N GO INC.","BRONX","NY",10452,"BRONX","NEW YORK CITY","TOBACCO RETAIL","11/10/2020","1237 JEROME AVENUE
BRONX, NY 10452
","40.83691998000006"," -73.92151301399997"
"2590","NYC","SMOKE STAX III INC","BROOKLYN","NY",11204,"BROOKLYN","NEW YORK CITY","TOBACCO RETAIL","11/10/2020","6607 18TH  AVENUE
BROOKLYN, NY 11204
","40.618239981000045"," -73.99087099999997"
"2591","NYC","MS GROCERY FOOD CORP","BRONX","NY",10474,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","1331 SENENCA AVENUE
BRONX, NY 10474
","40.819209982000075"," -73.88605303799994"
"2592","NYC","M&D KIM CORP","ASTORIA","NY",11105,"QUEENS","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","21-01 31ST STREET
ASTORIA, NY 11105
","40.77771998000003"," -73.90847798199997"
"2593","NYC","NEW DHAKA PRODUCTS INC","JAMAICA","NY",11432,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","153-32 HILLSIDE AVENUE
JAMAICA, NY 11432
","40.70743001100004"," -73.80319398499995"
"2594","NYC","DITMAS FRUIT & DAIRY INC","BROOKLYN","NY",11218,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","124 DITMAS  AVENUE
BROOKLYN, NY 11218
","40.635510013000044"," -73.97721101199994"
"2595","NYC","POWER TECH GAS INC","BROOKLYN","NY",11218,"BROOKLYN","NEW YORK CITY","GAS STATION","11/10/2020","1 CORTELYOU ROAD
BROOKLYN, NY 11218
","40.638029990000064"," -73.97941603999993"
"2596","NYC","SAM 3 DELI GROCERY INC","BRONX","NY",10453,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","2039 GRAND CONCOURSE
BRONX, NY 10453
","40.85219998000008"," -73.90418896199998"
"2597","NYC","545 DELI GROCERY CORP","BROOKLYN","NY",11206,"BROOKLYN","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","545 MARCY AVENUE
BROOKLYN, NY 11206
","40.696459986000036"," -73.94927597299994"
"2598","NYC","NUR GROCERY TWO INC","NEW YORK","NY",10009,"MANHATTAN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","301 EAST 4TH  STREET
NEW YORK, NY 10009
","40.72227000300006"," -73.97990897899996"
"2599","NYC","GARCIA, IRIS","BROOKLYN","NY",11230,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","1201 FOSTER AVENUE
BROOKLYN, NY 11230
","40.63303001700007"," -73.96555496999997"
